RS Actual Data,RS Missing Data,SG Actual Data,SG Missing Data,RS Predicted Data - RS,SG Predicted Data - RS,RS Predicted Data - RS_missing,SG Predicted Data - RS_missing,RS Predicted Data - RS_missing_SG,SG Predicted Data - RS_missing_SG,RS Predicted Data - RS_SG_both_missing,SG Predicted Data - RS_SG_both_missing
64.2823,,453.0,453.0,41.826984,482.72983,58.07497,479.63873,57.39631,454.04358,51.84342,452.31235
66.4764,66.4764,454.0,454.0,51.489185,483.97586,64.21594,483.1458,61.488945,454.71777,59.766315,453.4809
65.2512,65.2512,455.0,455.0,57.307453,484.1362,69.4226,481.8336,66.78553,456.0572,63.23643,453.39465
66.4678,66.4678,459.0,459.0,62.27167,484.04654,71.59819,480.60754,68.25823,458.65735,65.54393,454.11136
62.1635,62.1635,466.0,466.0,64.35355,483.5895,70.68542,479.80292,66.11807,463.97525,65.74598,456.94574
64.7661,64.7661,479.0,479.0,64.938255,483.02884,69.05565,479.69858,63.120655,474.70087,64.52943,464.03522
63.4542,63.4542,493.0,493.0,63.503708,482.27887,67.13456,479.97446,59.646862,488.39792,60.69439,481.06705
56.7204,56.7204,494.0,494.0,62.28011,482.12067,65.05188,480.41907,55.58583,496.9568,54.945583,498.807
52.680800000000005,,,,54.40124,481.38437,60.756973,480.8455,49.243317,499.02762,48.220707,502.66666
41.2096,41.2096,503.0,503.0,47.05494,480.54922,55.324963,480.51422,39.629395,503.06445,40.086884,505.03656
26.1587,26.1587,,,34.08824,480.52936,42.77289,480.0634,29.554914,502.95096,33.26665,505.721
18.5379,,253.0,253.0,17.55685,477.9748,23.746832,478.83752,44.995033,451.94788,50.12762,463.06488
20.2836,20.2836,,,12.955972,481.1263,18.006897,481.65985,41.245644,449.65475,44.609055,470.6447
11.5965,11.5965,511.0,511.0,7.906715,480.39117,9.06334,480.4335,20.53535,460.4812,17.476463,508.27817
6.0755300000000005,6.0755300000000005,511.0,511.0,5.6430163,480.44943,6.115188,480.97116,11.181641,494.511,6.702678,513.3547
5.761119999999998,5.761119999999998,510.0,510.0,4.939794,480.82587,5.153169,481.119,6.4077964,506.52628,3.79396,512.5038
5.7682199999999995,5.7682199999999995,511.0,511.0,4.455257,481.14,4.904018,481.19778,4.526014,512.30927,3.1323123,510.607
5.844349999999999,5.844349999999999,510.0,510.0,4.3870673,482.18222,5.033275,481.67844,4.0999084,515.17554,3.9317164,508.47552
5.28266,5.28266,513.0,513.0,4.1945167,482.0292,5.1350894,481.54294,3.9284244,516.7654,4.6214213,507.26938
7.326409999999999,7.326409999999999,509.0,509.0,4.211807,482.1482,5.320337,481.1272,3.9892917,517.3922,4.9253287,506.65848
7.990770000000001,7.990770000000001,512.0,512.0,6.973434,483.6626,5.2965846,481.9486,4.0776954,518.1014,5.5386004,506.9488
7.788319999999999,7.788319999999999,511.0,511.0,7.8428283,483.4808,5.2271514,481.95724,4.253448,518.7855,5.5346713,508.08426
6.9598900000000015,6.9598900000000015,507.0,507.0,9.132911,483.28503,5.07978,482.06097,4.589498,519.43097,5.3299117,507.6607
8.536740000000002,8.536740000000002,500.0,500.0,10.876517,482.97537,4.861032,482.17673,5.111833,519.88995,5.0914187,501.39844
7.32996,7.32996,489.0,489.0,13.095992,482.72314,4.694879,482.2415,5.828874,519.21063,5.2302794,487.33328
5.8886199999999995,5.8886199999999995,481.0,481.0,13.263336,481.95544,4.7656093,481.84378,6.6412826,516.2488,6.3196464,472.07196
8.29863,8.29863,475.0,475.0,13.326988,480.9672,5.104011,481.01602,7.6014934,511.61902,9.044267,461.08368
21.9066,21.9066,469.0,469.0,18.529678,480.44308,8.362832,479.876,8.965123,509.47946,11.585754,454.25488
