time[s],MCP,PIP,DIP,TIP,Wrist_X,Wrist_Y,Wrist_D,MCP_X,MCP_Y,MCP_D,PIP_X,PIP_Y,PIP_D,DIP_X,DIP_Y,DIP_D,TIP_X,TIP_Y,TIP_D,MCP_RX,MCP_RY,MCP_RZ,PIP_RX,PIP_RY,PIP_RZ,DIP_RX,DIP_RY,DIP_RZ,TIP_RX,TIP_RY,TIP_RZ,MCP_Distance,PIP_Distance,DIP_Distance,TIP_Distance
3.5358528178185225,0,1,1,0,493,296,331,393,192,291,362,164,310,383,178,295,410,199,287,-75.22331619262695,-76.90182495117188,-40.0,-99.37821960449219,-99.54763793945312,-21.0,-82.4996109008789,-87.1127815246582,-36.0,-63.38686752319336,-71.70491027832031,-44.0,114.77124195475369,142.2208239010136,125.26301331102988,105.3351277230195
3.5952876079827547,0,1,1,0,492,297,330,394,193,292,364,166,311,387,181,295,414,202,288,-73.66775703430176,-76.96961975097656,-38.0,-97.11582565307617,-98.90150833129883,-19.0,-78.76919937133789,-85.66681289672852,-35.0,-59.758084297180176,-70.40394973754883,-42.0,113.11613850850301,139.90708324629122,121.5252632232684,101.44823693646032
3.6538071639370173,0,1,1,0,492,297,331,394,194,293,365,167,311,389,182,295,416,203,289,-73.8994312286377,-76.5228271484375,-38.0,-96.5390396118164,-98.3026123046875,-20.0,-77.5328540802002,-85.10574722290039,-36.0,-58.576087474823,-69.9453353881836,-42.0,112.96401644198826,139.22352443138894,120.62475563577252,100.43658679198334
3.713494851021096,0,1,1,0,492,297,331,394,194,295,365,168,312,389,183,297,415,204,291,-74.04595375061035,-76.7371940612793,-36.0,-96.68085479736328,-97.73605728149414,-19.0,-77.70301628112793,-84.67473983764648,-34.0,-59.30651807785034,-69.42922782897949,-40.0,112.54954561985564,138.78229201623796,119.84811348435298,99.6879168377328
3.7725755888968706,0,1,1,0,491,296,332,395,194,297,367,168,313,392,184,299,418,205,293,-72.86393356323242,-76.30302238464355,-35.0,-94.71636962890625,-97.25616455078125,-19.0,-75.1262321472168,-83.58574295043945,-33.0,-56.64936065673828,-68.25512504577637,-39.0,111.15891344979296,137.08009417420251,117.13038538831181,96.89639909631201
3.830873478902504,0,1,1,0,490,295,331,395,193,299,368,168,314,394,186,300,421,208,294,-72.06720161437988,-76.30779647827148,-32.0,-93.17263793945312,-96.50838470458984,-17.0,-72.84729766845703,-81.3817367553711,-31.0,-53.642313718795776,-65.33483123779297,-37.0,109.7294917143836,135.21837441296773,113.53728838983827,92.27750535193609
3.890597785823047,0,1,1,0,490,296,332,396,193,301,369,169,313,395,187,301,422,209,296,-71.65111351013184,-77.44331741333008,-31.0,-92.45166015625,-96.5162353515625,-19.0,-72.36267471313477,-81.71269989013672,-31.0,-53.115116357803345,-65.69968795776367,-36.0,109.96521940697245,134.9951597357659,113.46506958079435,91.83498561795774
3.949016568949446,0,1,1,0,490,296,332,397,193,301,371,170,313,398,189,302,426,211,297,-70.93954849243164,-77.44331741333008,-31.0,-90.97179412841797,-95.77630615234375,-19.0,-70.29179191589355,-80.40857315063477,-30.0,-50.313756227493286,-64.36719703674316,-35.0,109.50290841932855,133.45399262341587,110.93455118613073,88.87975090022776
4.007898292969912,0,1,1,0,489,296,332,397,193,303,372,169,314,399,189,303,426,212,299,-70.28704261779785,-77.66241073608398,-29.0,-89.57229232788086,-96.6825180053711,-18.0,-68.85446166992188,-80.5275764465332,-29.0,-49.524139761924744,-63.79435157775879,-33.0,108.68633033319482,133.02144504075366,109.84820189792362,87.24310696201363
4.0657016600016505,0,1,1,0,489,296,332,398,193,303,373,170,314,399,190,303,426,213,299,-69.57075309753418,-77.66241073608398,-29.0,-88.82999801635742,-95.94022369384766,-18.0,-68.85446166992188,-79.81128692626953,-29.0,-49.524139761924744,-63.08751678466797,-33.0,108.22448765366494,131.98217709225588,109.32418951303532,86.72759187948445
4.1248748558573425,0,1,1,0,488,296,333,398,193,304,374,170,314,400,191,304,427,215,299,-68.99865913391113,-77.90590286254883,-29.0,-87.45180130004883,-96.07416915893555,-19.0,-67.56134796142578,-79.34321594238281,-29.0,-48.181405782699585,-61.807790756225586,-34.0,108.03307208029656,131.29761433553537,108.17061363625724,85.4262890529755
4.183332693995908,0,1,1,0,488,296,331,398,193,305,374,171,314,401,192,304,427,216,299,-68.76455688476562,-77.74755859375,-26.0,-87.15389251708984,-95.06398010253906,-17.0,-66.54478454589844,-78.35667037963867,-27.0,-47.8834969997406,-60.833065032958984,-32.0,107.00115490426613,130.08443909175452,106.28723414993631,83.7704666707091
4.24268211890012,0,1,1,0,488,296,332,399,193,306,375,172,314,402,195,305,428,219,300,-68.25393486022949,-77.99105072021484,-26.0,-86.56055450439453,-94.45563125610352,-18.0,-66.02943420410156,-76.43946838378906,-27.0,-47.31850337982178,-58.89458656311035,-32.0,106.85131546381436,129.37772556393645,104.55562399082157,82.04640813921048
4.302172015886754,0,1,1,0,488,296,333,399,193,307,377,172,315,404,196,306,429,220,302,-68.46432876586914,-78.23454666137695,-26.0,-85.3383674621582,-94.7487678527832,-18.0,-64.7859697341919,-75.95484924316406,-27.0,-46.739299297332764,-58.41077136993408,-31.0,107.16346674437229,128.77874813309433,103.41837843416134,80.97765315712948
4.3613678850233555,0,1,1,0,488,296,332,399,193,308,377,172,315,404,196,306,429,221,302,-68.37681770324707,-78.21014785766602,-24.0,-85.18941497802734,-94.61482238769531,-17.0,-64.63701725006104,-75.82090377807617,-26.0,-46.590346813201904,-57.56289768218994,-30.0,106.6218384156879,128.44532315251374,102.96967247063075,79.90086110765453
4.420652354834601,0,1,1,0,488,295,332,400,192,308,377,172,316,404,197,307,430,223,304,-67.64870643615723,-78.15341186523438,-24.0,-85.30286407470703,-93.98916625976562,-16.0,-64.68663883209229,-74.41276359558105,-25.0,-45.85273456573486,-55.42745113372803,-28.0,106.11457613665682,127.93178648621229,101.7183396901728,77.19245822188554
4.4785480299033225,0,1,1,0,487,296,333,400,192,309,378,173,315,405,199,307,430,224,304,-67.06952667236328,-79.18411636352539,-24.0,-83.8064956665039,-94.00410842895508,-18.0,-63.32263469696045,-73.88006210327148,-26.0,-45.214478492736816,-55.62758827209473,-29.0,106.51030791584061,127.21753463034284,100.71752400326345,77.32902199265067
4.538948921021074,0,1,1,0,487,295,333,400,191,309,379,173,316,406,200,308,431,226,305,-67.06952667236328,-79.12737655639648,-24.0,-83.17055892944336,-93.37372207641602,-17.0,-62.641780853271484,-72.4601001739502,-25.0,-44.481616497039795,-53.43459987640381,-28.0,106.46813198677158,126.1942702623213,98.99221598533991,74.9524560647688
4.597461524885148,0,1,1,0,487,295,333,400,191,310,379,173,316,406,200,308,430,227,305,-67.12860488891602,-79.24165344238281,-23.0,-83.17055892944336,-93.37372207641602,-17.0,-62.641780853271484,-72.4601001739502,-25.0,-45.20263600349426,-52.71358013153076,-28.0,106.36958792161836,126.1942702623213,98.99221598533991,74.87322506709398
4.655830211006105,0,1,1,0,487,294,334,400,191,311,380,173,316,407,201,309,431,228,306,-67.33427429199219,-78.69792938232422,-23.0,-82.57012939453125,-92.71572494506836,-18.0,-62.10279083251953,-71.16462707519531,-25.0,-44.61400127410889,-51.36137104034424,-28.0,106.09556344868776,125.45131294776952,97.70445627472319,73.56901212351639
4.71641628886573,0,1,1,0,487,294,334,400,191,312,380,173,316,407,201,309,431,228,308,-67.39335060119629,-78.81220626831055,-22.0,-82.57012939453125,-92.71572494506836,-18.0,-62.10279083251953,-71.16462707519531,-25.0,-44.58558797836304,-51.414984703063965,-26.0,106.00579022928179,125.45131294776952,97.70445627472319,72.85173510214189
4.774206751957536,0,1,1,0,487,294,335,400,190,312,380,173,317,407,201,310,431,228,308,-67.53993797302246,-79.67898941040039,-23.0,-82.82307434082031,-93.00177001953125,-18.0,-62.291908264160156,-71.38447761535645,-25.0,-44.73217535018921,-51.54419994354248,-27.0,106.95505866887466,125.82921310264493,97.98482270029308,73.39463236082022
4.832723442930728,0,1,1,0,487,294,335,400,190,311,380,173,317,408,201,310,432,229,308,-67.48086166381836,-79.56235122680664,-24.0,-82.82307434082031,-93.00177001953125,-18.0,-61.55906867980957,-71.38447761535645,-25.0,-44.004064083099365,-50.81608963012695,-27.0,107.05061617584987,125.82921310264493,97.52057516823226,72.44054542261958
